timestamp,open,high,low,close,volume
2025-03-12 15:34:00,250.06,250.13,249.925,249.925,5127
2025-03-12 15:35:00,250.01,250.01,249.67,249.81,8653
2025-03-12 15:36:00,249.73,249.85,249.58,249.85,10471
2025-03-12 15:37:00,249.87,249.98,249.791,249.8725,5137
2025-03-12 15:38:00,249.875,249.885,249.78,249.87,5955
2025-03-12 15:39:00,249.91,250.07,249.797,249.99,9672
2025-03-12 15:40:00,250.01,250.1,249.92,249.92,5725
2025-03-12 15:41:00,249.92,250.005,249.71,249.71,7586
2025-03-12 15:42:00,249.77,249.83,249.62,249.8,7511
2025-03-12 15:43:00,249.84,250.0299,249.77,250.0,7795
2025-03-12 15:44:00,250.01,250.11,249.9,250.11,13051
2025-03-12 15:45:00,250.084,250.27,249.98,250.24,10382
2025-03-12 15:46:00,250.205,250.205,249.86,249.935,6321
2025-03-12 15:47:00,249.93,250.01,249.77,249.9,10183
2025-03-12 15:48:00,249.87,250.11,249.87,250.075,9443
2025-03-12 15:49:00,250.02,250.23,249.94,250.18,7620
2025-03-12 15:50:00,250.18,250.2,249.8,249.83,18620
2025-03-12 15:51:00,249.87,249.87,249.59,249.61,11114
2025-03-12 15:52:00,249.7,249.7,249.39,249.44,17594
2025-03-12 15:53:00,249.5,249.67,249.485,249.565,16372
2025-03-12 15:54:00,249.69,249.87,249.52,249.8,23023
2025-03-12 15:55:00,249.81,250.26,249.81,250.14,33314
2025-03-12 15:56:00,250.07,250.095,249.46,249.59,33149
2025-03-12 15:57:00,249.57,249.6995,249.495,249.62,35530
2025-03-12 15:58:00,249.63,249.78,249.6,249.63,56476
2025-03-12 15:59:00,249.65,249.82,249.56,249.56,134108
2025-03-12 16:00:00,249.56,250.0,249.36,249.36,1039537
2025-03-12 16:01:00,249.63,249.63,249.63,249.63,6176
2025-03-12 16:02:00,249.63,249.63,249.63,249.63,819
2025-03-12 16:03:00,249.63,249.63,245.75,249.63,13101
2025-03-12 16:04:00,249.63,249.63,249.625,249.625,19929
2025-03-12 16:05:00,249.63,249.63,249.63,249.63,8
2025-03-12 16:06:00,249.63,249.63,249.63,249.63,808
2025-03-12 16:10:00,249.63,249.63,249.63,249.63,470700
2025-03-12 16:12:00,250.89,250.89,250.89,250.89,1
2025-03-12 16:15:00,249.63,249.63,249.63,249.63,2
2025-03-12 16:16:00,251.06,251.06,251.06,251.06,1
2025-03-12 16:18:00,249.63,249.63,249.63,249.63,386
2025-03-12 16:21:00,249.75,249.75,249.75,249.75,20
2025-03-12 16:25:00,249.76,249.76,249.75,249.75,4
2025-03-12 16:27:00,249.63,249.63,249.63,249.63,9
2025-03-12 16:34:00,249.5,249.5,249.5,249.5,1
2025-03-12 16:36:00,249.9,249.9,249.9,249.9,2
2025-03-12 16:37:00,250.0,250.0,249.63,249.63,14
2025-03-12 16:38:00,249.63,249.63,249.63,249.63,6657
2025-03-12 16:42:00,249.9999,249.9999,249.9999,249.9999,2
2025-03-12 16:43:00,250.0,250.0,250.0,250.0,1
2025-03-12 16:44:00,250.0,250.0,249.65,249.65,12
2025-03-12 16:51:00,250.0,250.0,250.0,250.0,2
2025-03-12 17:02:00,246.1,246.1,246.1,246.1,7
2025-03-12 17:05:00,249.99,249.99,249.97,249.97,7
2025-03-12 17:06:00,249.99,249.99,249.99,249.99,5
2025-03-12 17:12:00,249.9,249.9,249.9,249.9,14
2025-03-12 17:14:00,249.99,249.99,249.99,249.99,1
2025-03-12 17:19:00,249.95,249.95,249.95,249.95,2
2025-03-12 17:21:00,249.74,249.85,249.74,249.85,20
2025-03-12 17:29:00,249.5,249.5,249.5,249.5,2
2025-03-12 17:46:00,249.5,249.5,249.5,249.5,1
2025-03-12 17:49:00,249.99,249.99,249.99,249.99,3
2025-03-12 17:50:00,249.9888,249.9888,249.9888,249.9888,1
2025-03-12 17:53:00,249.5,249.5,249.5,249.5,500
2025-03-12 17:57:00,249.5,249.5,249.5,249.5,1
2025-03-12 17:58:00,249.99,249.99,249.99,249.99,25
2025-03-12 18:03:00,249.01,249.01,249.01,249.01,3
