Open,High,Low,Close,Volume,timestamp
231.83,233.25,230.52,232.57,6725522,2025-03-05 10:00:00
232.565,232.63,229.23,232.2,5932336,2025-03-05 11:00:00
232.2,235.4,232.14,234.945,4466469,2025-03-05 12:00:00
234.945,235.85,231.24,235.82,3206588,2025-03-05 13:00:00
235.835,236.55,235.15,235.49,2708369,2025-03-05 14:00:00
235.47,236.48,235.06,235.82,5726241,2025-03-05 15:00:00
235.77,250.5416,234.0676,236.05,15810686,2025-03-05 16:00:00
236.03,236.36,235.74,236.15,55317,2025-03-05 17:00:00
236.12,236.41,235.7,235.7,27662,2025-03-05 18:00:00
235.74,236.39,235.5,235.7823,11251,2025-03-05 19:00:00
235.85,235.85,234.07,234.5,27666,2025-03-06 04:00:00
234.46,234.71,234.06,234.26,20044,2025-03-06 05:00:00
234.24,234.54,234.04,234.37,24546,2025-03-06 06:00:00
234.38,234.78,233.9,234.23,34285,2025-03-06 07:00:00
234.969,236.17,233.26,233.84,183993,2025-03-06 08:00:00
233.95,236.46,233.38,235.375,5685056,2025-03-06 09:00:00
235.31,237.86,234.9359,236.95,5230152,2025-03-06 10:00:00
236.98,237.72,234.8201,234.935,4015575,2025-03-06 11:00:00
234.95,235.31,234.04,235.04,4205180,2025-03-06 12:00:00
235.03,235.43,233.96,234.28,3812964,2025-03-06 13:00:00
234.29,236.01,233.1581,234.41,5032170,2025-03-06 14:00:00
234.43,235.76,234.19,235.32,6662244,2025-03-06 15:00:00
235.33,251.7307,225.7234,235.332,17301656,2025-03-06 16:00:00
235.332,235.4688,234.37,234.64,67003,2025-03-06 17:00:00
234.71,234.88,234.63,234.88,18031,2025-03-06 18:00:00
234.88,235.33,234.5,234.98,55342,2025-03-06 19:00:00
235.0,235.0,234.15,234.57,22271,2025-03-07 04:00:00
234.56,234.8,234.36,234.7,9986,2025-03-07 05:00:00
234.69,234.78,234.6,234.7,12869,2025-03-07 06:00:00
234.7,234.95,234.35,234.55,25802,2025-03-07 07:00:00
234.67,236.1,234.15,234.4111,296074,2025-03-07 08:00:00
234.5,239.439,233.92,238.335,5370296,2025-03-07 09:00:00
238.34,240.16,237.02,238.915,6464578,2025-03-07 10:00:00
238.91,239.53,237.87,239.2106,6364706,2025-03-07 11:00:00
239.225,240.83,237.86,240.03,6144175,2025-03-07 12:00:00
240.05,241.37,239.3703,239.43,4820722,2025-03-07 13:00:00
239.445,239.91,238.57,239.22,3630377,2025-03-07 14:00:00
239.21,239.77,237.94,239.03,6498571,2025-03-07 15:00:00
239.03,239.07,234.215,238.65,10597402,2025-03-07 16:00:00
238.64,239.07,238.32,238.43,229497,2025-03-07 17:00:00
238.43,238.99,238.43,238.75,21599,2025-03-07 18:00:00
238.69,238.78,238.51,238.65,7156,2025-03-07 19:00:00
237.0,238.4,235.94,236.07,64566,2025-03-10 04:00:00
236.02,236.36,235.52,236.09,63943,2025-03-10 05:00:00
236.21,236.29,235.53,235.82,39534,2025-03-10 06:00:00
235.86,236.17,235.25,235.52,52625,2025-03-10 07:00:00
236.08,239.07,235.25,236.44,363382,2025-03-10 08:00:00
236.5099,236.51,229.15,230.19,9868749,2025-03-10 09:00:00
230.18,230.41,225.37,226.19,11695171,2025-03-10 10:00:00
226.1759,227.29,225.29,226.59,8165490,2025-03-10 11:00:00
226.58,226.98,224.22,225.55,6160716,2025-03-10 12:00:00
225.52,226.09,224.325,225.86,5156820,2025-03-10 13:00:00
225.855,226.99,225.1064,225.28,5574816,2025-03-10 14:00:00
225.29,228.66,224.42,227.541,12183803,2025-03-10 15:00:00
227.48,227.69,226.22,226.78,21051062,2025-03-10 16:00:00
226.7006,226.78,210.3825,225.86,84665,2025-03-10 17:00:00
225.93,227.48,225.01,226.0,121978,2025-03-10 18:00:00
225.7635,226.36,224.4025,225.3616,122256,2025-03-10 19:00:00
225.16,228.23,225.01,227.3,89144,2025-03-11 04:00:00
227.27,227.45,226.69,227.16,56641,2025-03-11 05:00:00
227.16,227.26,226.45,226.64,42948,2025-03-11 06:00:00
226.61,226.95,226.28,226.58,41092,2025-03-11 07:00:00
226.64,228.21,225.3512,225.48,899735,2025-03-11 08:00:00
225.4707,227.48,221.76,222.0524,9576325,2025-03-11 09:00:00
222.02,223.5,220.01,221.055,11031167,2025-03-11 10:00:00
221.055,222.14,220.26,221.1398,6774992,2025-03-11 11:00:00
221.1,221.11,218.44,219.0,8722511,2025-03-11 12:00:00
218.97,219.53,217.45,218.29,7061299,2025-03-11 13:00:00
218.3,222.7,218.2393,222.165,6759727,2025-03-11 14:00:00
222.18,223.31,220.58,220.73,10159918,2025-03-11 15:00:00
220.73,228.5506,212.3775,220.27,20709042,2025-03-11 16:00:00
220.4188,220.84,220.26,220.57,1665057,2025-03-11 17:00:00
220.5,221.39,220.25,221.05,33151,2025-03-11 18:00:00
221.2082,221.39,220.5,220.97,32355,2025-03-11 19:00:00
220.91,220.91,219.5,220.59,43385,2025-03-12 04:00:00
220.6,220.98,220.17,220.25,30779,2025-03-12 05:00:00
220.24,220.36,219.86,220.18,46074,2025-03-12 06:00:00
220.27,220.89,220.2,220.41,50770,2025-03-12 07:00:00
220.24,222.45,219.5467,221.72,471354,2025-03-12 08:00:00
221.7583,222.48,219.27,221.41,8391341,2025-03-12 09:00:00
221.39,221.75,216.0,216.1,10122344,2025-03-12 10:00:00
216.125,217.893,214.91,217.78,8623560,2025-03-12 11:00:00
217.78,218.61,216.88,217.245,5228726,2025-03-12 12:00:00
217.27,218.23,216.06,216.11,4921223,2025-03-12 13:00:00
216.095,217.0899,215.84,216.43,4600446,2025-03-12 14:00:00
216.42,217.28,215.05,216.94,10945342,2025-03-12 15:00:00
216.94,229.701,212.6948,217.07,15095881,2025-03-12 16:00:00
217.1,217.31,216.98,217.1247,96015,2025-03-12 17:00:00
217.25,247.1,216.95,217.2,44345,2025-03-12 18:00:00
217.2,217.53,217.0554,217.48,47177,2025-03-12 19:00:00
216.9,216.9,215.11,215.92,46393,2025-03-13 04:00:00
215.92,216.98,215.91,216.96,40779,2025-03-13 05:00:00
216.96,216.98,216.3,216.3,29963,2025-03-13 06:00:00
216.39,216.49,215.65,216.27,74044,2025-03-13 07:00:00
216.25,216.98,215.0,215.91,202569,2025-03-13 08:00:00
215.98,216.98,214.37,215.265,6871806,2025-03-13 09:00:00
215.275,215.935,213.65,214.225,7734360,2025-03-13 10:00:00
214.24,214.8,212.0,212.0757,6510609,2025-03-13 11:00:00
212.08,212.93,211.13,211.49,7311538,2025-03-13 12:00:00
211.49,211.7,210.5,211.115,5154250,2025-03-13 13:00:00
211.1,212.47,211.04,211.92,5386919,2025-03-13 14:00:00
211.91,212.29,208.42,209.71,12634464,2025-03-13 15:00:00
209.71,265.1391,202.0051,209.85,15160390,2025-03-13 16:00:00
213.7223,258.4298,209.68,209.92,127950,2025-03-13 17:00:00
209.93,210.88,209.9,210.51,85730,2025-03-13 18:00:00
210.51,238.955,209.68,210.2,58021,2025-03-13 19:00:00
211.15,211.26,210.2,210.82,32373,2025-03-14 04:00:00
210.8,210.93,210.23,210.56,38115,2025-03-14 05:00:00
210.54,210.88,210.34,210.8,37570,2025-03-14 06:00:00
210.82,211.13,210.52,210.93,66565,2025-03-14 07:00:00
210.93,241.84,209.68,211.3025,783557,2025-03-14 08:00:00
211.39,213.43,210.6,212.49,7568764,2025-03-14 09:00:00
212.44,212.44,209.58,211.74,10021178,2025-03-14 10:00:00
211.7625,213.95,211.2,213.28,6795240,2025-03-14 11:00:00
213.28,213.29,212.0723,212.88,3819847,2025-03-14 12:00:00
212.87,213.5,211.96,212.4,3871945,2025-03-14 13:00:00
212.385,212.7,210.76,212.61,6236294,2025-03-14 14:00:00
212.61,213.9,212.485,213.38,8769291,2025-03-14 15:00:00
213.38,243.2133,206.977,213.24,19589075,2025-03-14 16:00:00
213.25,216.7766,213.18,213.22,24698,2025-03-14 17:00:00
213.2918,213.3,213.1205,213.28,19120,2025-03-14 18:00:00
213.28,213.35,213.17,213.3499,29527,2025-03-14 19:00:00
212.86,213.36,212.0,212.54,41973,2025-03-17 04:00:00
212.52,212.69,212.1,212.41,19634,2025-03-17 05:00:00
212.4,212.98,212.24,212.69,27105,2025-03-17 06:00:00
212.72,213.2,212.61,212.79,55247,2025-03-17 07:00:00
212.85,214.02,212.0112,213.8117,772188,2025-03-17 08:00:00
213.82,214.97,212.17,213.72,5721660,2025-03-17 09:00:00
213.73,214.0,211.3075,211.39,5801771,2025-03-17 10:00:00
211.39,211.67,209.97,210.915,5402949,2025-03-17 11:00:00
210.9157,211.89,210.57,211.5662,3398437,2025-03-17 12:00:00
211.55,213.7478,211.09,213.665,3756292,2025-03-17 13:00:00
213.66,214.7968,213.51,214.55,3901968,2025-03-17 14:00:00
214.541,215.22,213.67,214.15,8763063,2025-03-17 15:00:00
214.105,241.84,213.6,213.99,16829569,2025-03-17 16:00:00
213.91,229.248,199.7357,213.79,107214,2025-03-17 17:00:00
213.76,214.19,213.76,214.19,19118,2025-03-17 18:00:00
214.06,214.1,213.72,213.93,15182,2025-03-17 19:00:00
213.98,214.0,213.59,213.79,18364,2025-03-18 04:00:00
213.79,213.86,213.62,213.66,10233,2025-03-18 05:00:00
213.68,214.0,213.25,213.9,44447,2025-03-18 06:00:00
213.9,213.97,213.44,213.91,46225,2025-03-18 07:00:00
213.9,214.0,213.0,213.43,125111,2025-03-18 08:00:00
213.56,215.05,212.84,214.43,6071267,2025-03-18 09:00:00
214.42,215.15,213.01,213.715,6077794,2025-03-18 10:00:00
213.7047,213.82,212.65,213.345,3842706,2025-03-18 11:00:00
213.315,214.0,211.59,212.205,4167825,2025-03-18 12:00:00
212.195,212.575,211.49,211.86,3579248,2025-03-18 13:00:00
211.85,212.655,211.67,212.215,3051295,2025-03-18 14:00:00
212.215,213.28,211.89,212.79,5980029,2025-03-18 15:00:00
212.69,227.4311,210.214,212.92,13975706,2025-03-18 16:00:00
212.9,214.0,210.214,212.78,847165,2025-03-18 17:00:00
212.98,213.0,212.3012,212.9,20709,2025-03-18 18:00:00
212.9,213.0,212.6,213.0,21536,2025-03-18 19:00:00
213.5,213.58,212.68,213.06,17252,2025-03-19 04:00:00
213.07,213.34,212.75,213.33,6826,2025-03-19 05:00:00
213.32,213.43,213.26,213.3,10637,2025-03-19 06:00:00
213.29,213.41,213.0,213.23,16310,2025-03-19 07:00:00
213.35,213.5,212.4112,213.34,63825,2025-03-19 08:00:00
213.3399,217.72,212.69,217.155,6548889,2025-03-19 09:00:00
217.18,218.76,215.45,215.55,7606277,2025-03-19 10:00:00
215.51,216.75,214.96,216.269,4137311,2025-03-19 11:00:00
216.24,216.34,214.44,214.9573,2958023,2025-03-19 12:00:00
214.97,215.1,213.86,214.07,2822037,2025-03-19 13:00:00
213.98,215.605,213.75,215.5888,5883092,2025-03-19 14:00:00
215.57,217.059,214.48,215.3,8234098,2025-03-19 15:00:00
215.3,219.0465,202.0365,215.39,27941561,2025-03-19 16:00:00
219.0465,219.0465,202.0365,215.6,21390,2025-03-19 17:00:00
215.48,215.87,215.22,215.75,22825,2025-03-19 18:00:00
215.75,216.43,215.66,216.15,29537,2025-03-19 19:00:00
216.44,216.68,215.74,216.02,33089,2025-03-20 04:00:00
216.0,216.24,215.24,215.43,15650,2025-03-20 05:00:00
215.5,215.5,213.6,214.42,69985,2025-03-20 06:00:00
214.42,214.89,214.15,214.86,40799,2025-03-20 07:00:00
215.6367,216.6788,213.19,214.74,228565,2025-03-20 08:00:00
214.72,215.49,212.9,215.49,3987832,2025-03-20 09:00:00
