Open,High,Low,Close,Volume,timestamp
250.4907,255.1988,250.3712,253.4,3993,2025-03-03 08:00:00
252.78,255.99,252.44,252.74,319176,2025-03-03 09:00:00
252.37,254.05,251.79,252.745,311851,2025-03-03 10:00:00
252.85,253.7599,251.66,252.425,280114,2025-03-03 11:00:00
252.425,253.52,252.39,252.88,171551,2025-03-03 12:00:00
252.75,252.9,251.01,251.44,251559,2025-03-03 13:00:00
251.34,252.35,250.72,250.91,256372,2025-03-03 14:00:00
250.802,250.802,248.245,250.33,767064,2025-03-03 15:00:00
250.33,251.4184,247.0,250.47,1613432,2025-03-03 16:00:00
250.45,250.4988,250.19,250.43,15173,2025-03-03 17:00:00
250.4,251.14,250.19,250.3467,507319,2025-03-03 18:00:00
250.19,250.99,250.19,250.35,507092,2025-03-03 19:00:00
250.0,250.18,248.55,249.37,3123,2025-03-04 04:00:00
249.42,249.5,248.9,249.5,604,2025-03-04 05:00:00
249.02,249.5,248.92,249.46,542,2025-03-04 06:00:00
249.46,249.49,248.5,248.75,3656,2025-03-04 07:00:00
249.13,250.1988,247.5,248.81,9724,2025-03-04 08:00:00
248.5,252.46,248.1,250.25,855223,2025-03-04 09:00:00
250.27,253.0,249.72,251.64,674622,2025-03-04 10:00:00
251.6,252.9,251.08,252.61,501993,2025-03-04 11:00:00
252.62,253.54,251.74,252.59,432465,2025-03-04 12:00:00
252.59,254.0,252.5018,253.785,239585,2025-03-04 13:00:00
253.78,254.9,253.78,254.12,220043,2025-03-04 14:00:00
254.05,255.48,252.27,253.1,656006,2025-03-04 15:00:00
253.205,253.22,252.4254,253.21,301805,2025-03-04 16:00:00
255.55,255.55,254.01,254.67,358,2025-03-05 04:00:00
254.7,254.84,254.42,254.8,57,2025-03-05 05:00:00
254.52,254.72,253.21,253.5,537,2025-03-05 06:00:00
253.52,253.75,252.29,253.16,1259,2025-03-05 07:00:00
253.89,254.9588,252.0,252.3175,3560,2025-03-05 08:00:00
252.3,253.0,248.89,249.35,291219,2025-03-05 09:00:00
249.37,250.9699,247.17,248.565,532398,2025-03-05 10:00:00
248.63,248.76,247.0146,248.5,324692,2025-03-05 11:00:00
248.57,250.48,248.42,250.1599,254947,2025-03-05 12:00:00
250.02,250.42,248.76,250.37,241157,2025-03-05 13:00:00
250.33,251.41,249.955,250.57,285817,2025-03-05 14:00:00
250.565,251.5,249.73,251.31,783282,2025-03-05 15:00:00
251.31,251.94,250.0,250.91,3037230,2025-03-05 16:00:00
251.163,251.35,250.61,250.9,527,2025-03-05 17:00:00
250.9,251.35,250.72,250.72,876095,2025-03-05 18:00:00
251.35,251.35,250.6,250.72,874589,2025-03-05 19:00:00
251.4,251.4,248.01,248.63,805,2025-03-06 04:00:00
248.53,249.38,248.2,248.53,3067,2025-03-06 05:00:00
248.34,248.49,248.17,248.49,1005,2025-03-06 06:00:00
248.49,248.82,248.27,248.34,1277,2025-03-06 07:00:00
250.3597,253.42,247.0,248.6,6924,2025-03-06 08:00:00
248.48,250.7,246.8019,247.6666,315354,2025-03-06 09:00:00
247.685,251.6996,247.25,251.62,426368,2025-03-06 10:00:00
251.73,252.1,249.451,249.451,342364,2025-03-06 11:00:00
249.54,249.83,248.315,249.18,225788,2025-03-06 12:00:00
249.09,249.16,247.38,248.155,226030,2025-03-06 13:00:00
248.15,249.49,246.8844,247.8968,340653,2025-03-06 14:00:00
247.81,249.35,247.69,248.53,670392,2025-03-06 15:00:00
248.53,252.9,247.5,250.5,1767798,2025-03-06 16:00:00
249.01,252.9,248.73,248.79,462,2025-03-06 17:00:00
248.79,252.9,248.69,249.47,519514,2025-03-06 18:00:00
248.69,249.46,248.69,249.0,521286,2025-03-06 19:00:00
248.69,249.31,248.3,249.19,150,2025-03-07 04:00:00
248.98,248.98,248.29,248.47,514,2025-03-07 05:00:00
248.27,248.6,248.1,248.47,309,2025-03-07 06:00:00
248.88,248.99,248.11,248.11,443,2025-03-07 07:00:00
248.78,250.7,247.44,247.76,3964,2025-03-07 08:00:00
247.75,249.635,245.1823,248.41,389795,2025-03-07 09:00:00
248.44,253.31,247.8507,252.79,707159,2025-03-07 10:00:00
252.66,253.18,251.62,252.51,735579,2025-03-07 11:00:00
252.615,257.055,252.51,255.465,876092,2025-03-07 12:00:00
255.38,259.58,255.1236,259.46,841658,2025-03-07 13:00:00
259.46,261.0399,258.85,260.1599,861046,2025-03-07 14:00:00
260.21,261.96,259.21,261.42,1405660,2025-03-07 15:00:00
261.54,262.9605,260.6,261.5,2304051,2025-03-07 16:00:00
262.473,263.0,260.8,260.8,7378,2025-03-07 17:00:00
261.89,261.89,260.81,261.45,717041,2025-03-07 18:00:00
261.54,261.54,261.0,261.25,716778,2025-03-07 19:00:00
260.87,261.2,258.66,258.7,750,2025-03-10 04:00:00
258.78,260.32,257.74,260.24,1979,2025-03-10 05:00:00
260.24,260.45,259.51,259.87,221,2025-03-10 06:00:00
259.95,260.49,259.55,260.13,2892,2025-03-10 07:00:00
261.535,262.9988,242.0012,259.6603,10501,2025-03-10 08:00:00
260.2725,266.45,258.9,263.405,1198356,2025-03-10 09:00:00
263.38,265.235,262.41,263.26,1295703,2025-03-10 10:00:00
263.28,265.95,261.47,263.52,975908,2025-03-10 11:00:00
263.7,264.39,263.22,263.75,549603,2025-03-10 12:00:00
263.69,263.76,260.7,260.91,625019,2025-03-10 13:00:00
260.9186,261.4,256.79,257.41,863000,2025-03-10 14:00:00
257.39,258.08,254.7474,256.96,1654775,2025-03-10 15:00:00
256.96,264.97,256.25,256.9,2371411,2025-03-10 16:00:00
257.0,257.3,256.59,257.0,1757,2025-03-10 17:00:00
257.0,260.91,256.59,257.39,696781,2025-03-10 18:00:00
256.9,259.9148,256.0,259.91,698910,2025-03-10 19:00:00
256.3,259.15,256.3,258.58,1077,2025-03-11 04:00:00
258.26,258.26,257.53,257.6,448,2025-03-11 05:00:00
257.6,257.84,257.5,257.8,683,2025-03-11 06:00:00
257.94,258.22,257.0,257.57,3588,2025-03-11 07:00:00
258.41,259.2,244.0012,256.44,3021,2025-03-11 08:00:00
256.38,256.7,252.04,252.73,618786,2025-03-11 09:00:00
252.56,254.53,249.93,250.225,981595,2025-03-11 10:00:00
250.22,252.3,250.01,250.66,467706,2025-03-11 11:00:00
250.7999,250.8381,248.0,248.565,489301,2025-03-11 12:00:00
248.565,248.7,245.86,247.21,649461,2025-03-11 13:00:00
247.195,251.88,247.195,251.595,553780,2025-03-11 14:00:00
251.645,251.89,248.725,248.84,902461,2025-03-11 15:00:00
248.84,252.272,246.8515,248.5,2224849,2025-03-11 16:00:00
248.5,249.35,247.0,249.17,700,2025-03-11 17:00:00
248.765,249.35,248.75,249.01,635124,2025-03-11 18:00:00
248.95,250.99,248.95,249.78,634092,2025-03-11 19:00:00
249.78,250.42,247.53,249.53,140,2025-03-12 04:00:00
249.53,249.85,249.0,249.3,409,2025-03-12 05:00:00
249.31,251.45,249.1,251.45,3710,2025-03-12 06:00:00
250.63,254.14,250.51,252.25,6993,2025-03-12 07:00:00
251.98,268.9988,248.3325,251.3,10623,2025-03-12 08:00:00
251.3,251.975,247.6661,248.23,506853,2025-03-12 09:00:00
248.22,253.1273,246.22,246.855,629214,2025-03-12 10:00:00
246.875,250.32,245.53,249.99,505057,2025-03-12 11:00:00
250.11,250.95,248.83,248.9814,381315,2025-03-12 12:00:00
249.0,250.4769,248.5,248.57,222066,2025-03-12 13:00:00
248.59,250.4,248.24,250.1734,264330,2025-03-12 14:00:00
250.13,250.48,249.32,249.56,700805,2025-03-12 15:00:00
249.56,251.06,245.75,250.0,1558192,2025-03-12 16:00:00
246.1,249.99,246.1,249.99,589,2025-03-12 17:00:00
249.01,250.0,249.01,249.95,470842,2025-03-12 18:00:00
249.63,250.5,249.63,250.5,471016,2025-03-12 19:00:00
249.58,249.58,248.3,249.01,297,2025-03-13 04:00:00
249.3,249.62,249.3,249.32,134,2025-03-13 05:00:00
249.62,250.03,249.54,249.98,239,2025-03-13 06:00:00
249.9,250.0,248.55,249.46,434,2025-03-13 07:00:00
259.2588,259.2588,247.0,249.35,1746,2025-03-13 08:00:00
249.32,249.99,246.36,246.91,275293,2025-03-13 09:00:00
246.76,248.09,246.01,246.86,548434,2025-03-13 10:00:00
246.835,247.25,244.42,244.57,363647,2025-03-13 11:00:00
244.59,245.46,243.76,244.64,455864,2025-03-13 12:00:00
244.53,244.97,243.04,243.64,408162,2025-03-13 13:00:00
243.6155,247.27,243.57,246.69,359891,2025-03-13 14:00:00
246.725,246.9577,244.99,245.63,776447,2025-03-13 15:00:00
245.63,247.33,244.18,246.05,1685017,2025-03-13 16:00:00
245.82,247.0,245.8,246.97,1160,2025-03-13 17:00:00
246.03,247.0,245.8,246.7,507277,2025-03-13 18:00:00
245.8,247.33,245.8,246.5,507375,2025-03-13 19:00:00
245.97,247.45,245.97,246.81,26,2025-03-14 04:00:00
247.36,247.38,246.84,246.84,57,2025-03-14 05:00:00
247.29,247.38,246.49,246.49,549,2025-03-14 06:00:00
247.05,247.29,246.96,247.17,487,2025-03-14 07:00:00
247.48,259.2988,245.8,246.94,11876,2025-03-14 08:00:00
246.61,246.96,241.68,246.03,574776,2025-03-14 09:00:00
246.02,247.89,244.625,247.86,520901,2025-03-14 10:00:00
247.845,248.18,246.76,248.01,366604,2025-03-14 11:00:00
248.075,248.65,247.33,248.535,353070,2025-03-14 12:00:00
248.44,248.9499,247.25,247.25,251011,2025-03-14 13:00:00
247.345,247.66,246.8854,247.11,301367,2025-03-14 14:00:00
247.165,248.45,247.0,248.23,917572,2025-03-14 15:00:00
248.15,249.12,247.55,247.6,1803109,2025-03-14 16:00:00
247.6,249.0,247.6,247.76,544,2025-03-14 17:00:00
248.525,249.0,247.8,248.25,526512,2025-03-14 18:00:00
248.35,248.35,247.8401,248.24,526517,2025-03-14 19:00:00
248.3,248.3,246.77,247.73,412,2025-03-17 04:00:00
247.57,247.57,247.33,247.43,219,2025-03-17 05:00:00
247.34,248.11,247.16,248.11,240,2025-03-17 06:00:00
248.0,248.12,247.2,247.25,2976,2025-03-17 07:00:00
